"Vinissi Fastighet AB";"556903-8671";"";""
"";"";"";""
"";"Ingående saldo 2018-01-01";"";"20 039"
"2018-01-17";"Debiterad preliminärskatt";"-608";"19 431"
"2018-02-12";"Debiterad preliminärskatt";"-2 294";"17 137"
"2018-03-12";"Debiterad preliminärskatt";"-2 294";"14 843"
"2018-03-12";"Slutlig skatt";"-25 034";"-10 191"
"2018-03-12";"Tillgodoförd debiterad preliminärskatt";"6 144";"-4 047"
"2018-04-01";"Korrigerad kostnadsränta";"-36";"-4 083"
"2018-04-01";"Kostnadsränta";"-37";"-4 120"
"2018-04-12";"Debiterad preliminärskatt";"-2 294";"-6 414"
"2018-04-17";"Inbetalning bokförd 180416";"4 166";"-2 248"
"2018-05-05";"Kostnadsränta";"-50";"-2 298"
"2018-05-14";"Debiterad preliminärskatt";"-2 294";"-4 592"
"2018-05-22";"Inbetalning bokförd 180521";"2 322";"-2 270"
"2018-06-02";"Kostnadsränta";"-36";"-2 306"
"2018-06-12";"Debiterad preliminärskatt";"-2 294";"-4 600"
"2018-06-26";"Inbetalning bokförd 180625";"2 331";"-2 269"
"2018-07-01";"Kostnadsränta";"-43";"-2 312"
"2018-07-12";"Debiterad preliminärskatt";"-2 294";"-4 606"
"2018-07-28";"Inbetalning bokförd 180727";"2 338";"-2 268"
"2018-08-04";"Kostnadsränta";"-50";"-2 318"
"2018-08-17";"Debiterad preliminärskatt";"-2 294";"-4 612"
"2018-08-29";"Inbetalning bokförd 180828";"2 342";"-2 270"
"2018-09-01";"Kostnadsränta";"-40";"-2 310"
"2018-09-12";"Debiterad preliminärskatt";"-2 294";"-4 604"
"2018-09-25";"Inbetalning bokförd 180924";"2 336";"-2 268"
"2018-10-06";"Kostnadsränta";"-48";"-2 316"
"2018-10-12";"Debiterad preliminärskatt";"-2 294";"-4 610"
"2018-11-01";"Inbetalning bokförd 181031";"2 337";"-2 273"
"2018-11-03";"Kostnadsränta";"-48";"-2 321"
"2018-11-12";"Debiterad preliminärskatt";"-2 294";"-4 615"
"2018-11-27";"Inbetalning bokförd 181126";"2 345";"-2 270"
"2018-12-01";"Kostnadsränta";"-44";"-2 314"
"2018-12-12";"Debiterad preliminärskatt";"-2 294";"-4 608"
